slug,protocol,title,description,markdown_url,author,author_url,tags,difficulty_level
create-a-donation-dapp-on-polygon,polygon,Create a donation dApp on Polygon,Learn how to create a donation dApp on Polygon to award your favorite content creator with MATIC tokens,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/build-a-donation-dapp-on-polygon-to-award-your-favourite-content-creator.md,Viral Sangani,https://github.com/viral-sangani,JS/TS;Solidity;Javascript;Solidity,Intermediate
build-a-poe-decentralized-app,polkadot,Build a PoE Decentralized App,"Learn to create a custom ""Proof of Existence"" dApp using the Substrate blockchain development framework and FRAME runtime libraries",https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polkadot/build-a-poe-decentralized-app.md,,,JS/TS;Rust;React;NodeJS,Intermediate
explaining-solana-for-beginners,solana,Solana's Innovations - a jargon-free explanation,Learn about Solana with easy language aimed at beginners,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/solana/solana-jargon-free.md,Brandon Goss,https://github.com/brandongoss,"",
substrate-kitties-dispatchables-and-events,polkadot,Substrate Kitties - Dispatchables & Events,Learn how to use storage with your Substrate Pallet,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polkadot/substrate-kitties/dispatchables-and-events.md,Kresna Sucandra,https://github.com/SHA888,Rust;Rust,Intermediate
transferring-tokens-with-polygon-pos-bridge,polygon,Transferring tokens with the Polygon PoS bridge,Learn how to move tokens between Polygon and Ethereum using the Proof of Stake bridge.,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/erc20-pos-bridge-sdk.md,Masoud Ghorbanzadeh,https://github.com/mlibre,JS/TS;Smart contracts;Javascript;Metamask,Beginner
querying-the-terra-blockchain,terra,Querying the Terra blockchain,Learn how to pull information from the Terra Blockchain using DataHub,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/terra/setting-up-your-first-wallet.md,,,JS/TS;NodeJS;Javascript,Beginner
create-a-lending-marketplace-dapp-on-polygon,polygon,Create a Lending Marketplace dApp on Polygon,Make your own lending marketplace on Polygon,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/create-a-lending-marketplace-dapp-on-polygon.md,Devendra Yadav,https://github.com/Devilla,JS/TS;Solidity;Smart contracts;Solidity;Typescript,Advanced
celo-ubeswap-tutorial,celo,How to use Ubeswap DEX on Celo,This tutorial is a part of DeFi series where people can learn how to participate in DeFi on the Celo Blockchain.,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/network-documentation/celo/tutorial/celo-ubeswap-tutorial.md,Deepanshu Hooda,https://github.com/gitofdeepanshu,"",Beginner
mint-your-own-fungible-token-on-tezos,tezos,Mint your own Fungible Token,Learn how to create your own fungible tokens on Tezos using SmartPy,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/tezos/tezos-mint-fungible-tokens.md,Priyanshu Dangi,https://github.com/PriyanshuDangi,Python;Smart contracts,Intermediate
solana-token-streaming-protocol,solana,Build a token streaming protocol,Learn how to make your own token streaming protocol on Solana,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/solana/solana-streaming-protocol.md,Sushant Chandla,https://github.com/SushantChandla,Rust;NodeJS;Rust,Intermediate
